League,Round,Day,Date,Time,First_Team_Name,First_Team_Score,First_Team_Win_Status,Second_Team_Name,Second_Team_Score,Location,Crowd_Attendance
AFL-M,13,Saturday,10 June,1:45 pm,Hawthorn,98,def.,Brisbane Lions,73,Melbourne Cricket Ground,35869
AFL-M,13,Saturday,10 June,4:05 pm,Adelaide,174,def.,West Coast,52,Adelaide Oval,39450
AFL-M,13,Saturday,10 June,5:25 pm,Fremantle,70,def. by,Richmond,85,Optus Stadium,46843
AFL-M,13,Sunday,11 June,3:20 pm,North Melbourne,75,def. by,Greater Western Sydney,103,Blundstone Arena,5025
AFL-M,13,Sunday,11 June,7:15 pm,Carlton,52,def. by,Essendon,86,Melbourne Cricket Ground,83638
AFL-M,13,Monday,12 June,3:20 pm,Melbourne,66,def.,Collingwood,62,Melbourne Cricket Ground,83578
AFL-M,14,Thursday,15 June,7:10 pm,Port Adelaide,110,def.,Geelong,72,Adelaide Oval,36316
AFL-M,14,Friday,16 June,7:50 pm,Brisbane Lions,97,def.,Sydney,81,The Gabba,28561
AFL-M,14,Saturday,17 June,4:35 pm,Greater Western Sydney,106,def.,Fremantle,36,Giants Stadium,8633
AFL-M,14,Saturday,17 June,7:25 pm,Richmond,90,def.,St Kilda,70,Melbourne Cricket Ground,62686
AFL-M,14,Sunday,18 June,1:10 pm,Carlton,120,def.,Gold Coast,61,Melbourne Cricket Ground,29602
AFL-M,14,Sunday,18 June,4:40 pm,North Melbourne,84,def. by,Western Bulldogs,105,Marvel Stadium,23829
AFL-M,15,Thursday,22 June,7:20 pm,Geelong,78,def.,Melbourne,63,GMHBA Stadium,19617
AFL-M,15,Friday,23 June,7:50 pm,St Kilda,56,def. by,Brisbane Lions,84,Marvel Stadium,28985
AFL-M,15,Saturday,24 June,4:35 pm,Sydney,205,def.,West Coast,34,Sydney Cricket Ground,31367
AFL-M,15,Saturday,24 June,5:30 pm,Fremantle,93,def.,Essendon,61,Optus Stadium,43063
AFL-M,15,Sunday,25 June,1:10 pm,Collingwood,82,def.,Adelaide,80,Melbourne Cricket Ground,65930
AFL-M,15,Sunday,25 June,4:40 pm,Gold Coast,101,def.,Hawthorn,34,Heritage Bank Stadium,14242
AFL-M,16,Thursday,29 June,7:20 pm,Brisbane Lions,134,def.,Richmond,53,The Gabba,30022
AFL-M,16,Friday,30 June,7:50 pm,Sydney,54,drew with,Geelong,54,Sydney Cricket Ground,32098
AFL-M,16,Saturday,1 July,1:15 pm,Adelaide,138,def.,North Melbourne,72,Adelaide Oval,35226
AFL-M,16,Saturday,1 July,1:45 pm,Western Bulldogs,102,def.,Fremantle,73,Marvel Stadium,25412
AFL-M,16,Saturday,1 July,4:35 pm,Gold Coast,42,def. by,Collingwood,120,Heritage Bank Stadium,22483
AFL-M,16,Saturday,1 July,7:25 pm,Essendon,74,def. by,Port Adelaide,78,Melbourne Cricket Ground,38957
AFL-M,16,Sunday,2 July,1:10 pm,Hawthorn,52,def. by,Carlton,112,Melbourne Cricket Ground,66337
AFL-M,16,Sunday,2 July,2:50 pm,Melbourne,45,def. by,Greater Western Sydney,47,TIO Traeger Park,3413
AFL-M,16,Sunday,2 July,2:40 pm,West Coast,77,def. by,St Kilda,85,Optus Stadium,35579
AFL-M,17,Thursday,6 July,7:20 pm,Richmond,88,def.,Sydney,75,Melbourne Cricket Ground,48443
AFL-M,17,Friday,7 July,7:50 pm,Western Bulldogs,77,def. by,Collingwood,89,Marvel Stadium,43482
AFL-M,17,Saturday,8 July,1:45 pm,Brisbane Lions,116,def.,West Coast,35,The Gabba,24843
AFL-M,17,Saturday,8 July,4:35 pm,Greater Western Sydney,85,def.,Hawthorn,72,Giants Stadium,9007
AFL-M,17,Saturday,8 July,7:25 pm,St Kilda,58,def. by,Melbourne,79,Marvel Stadium,30749
AFL-M,17,Saturday,8 July,7:10 pm,Port Adelaide,106,def.,Gold Coast,73,Adelaide Oval,31053
AFL-M,17,Sunday,9 July,1:10 pm,Geelong,125,def.,North Melbourne,63,GMHBA Stadium,21066
AFL-M,17,Sunday,9 July,3:20 pm,Essendon,115,def.,Adelaide,97,Marvel Stadium,39606
AFL-M,17,Sunday,9 July,2:40 pm,Fremantle,45,def. by,Carlton,98,Optus Stadium,49469
AFL-M,18,Thursday,13 July,7:20 pm,Sydney,78,def.,Western Bulldogs,76,Sydney Cricket Ground,26221
AFL-M,18,Friday,14 July,7:50 pm,Melbourne,105,def.,Brisbane Lions,104,Melbourne Cricket Ground,38030
AFL-M,18,Saturday,15 July,1:45 pm,Collingwood,113,def.,Fremantle,67,Melbourne Cricket Ground,61157
AFL-M,18,Saturday,15 July,2:10 pm,Gold Coast,77,def.,St Kilda,51,Heritage Bank Stadium,13015
AFL-M,18,Saturday,15 July,4:35 pm,Carlton,122,def.,Port Adelaide,72,Marvel Stadium,34306
AFL-M,18,Saturday,15 July,7:25 pm,Geelong,122,def.,Essendon,45,GMHBA Stadium,23185
AFL-M,18,Saturday,15 July,7:10 pm,Adelaide,57,def. by,Greater Western Sydney,71,Adelaide Oval,36674
AFL-M,18,Sunday,16 July,1:10 pm,North Melbourne,40,def. by,Hawthorn,88,Marvel Stadium,30201
AFL-M,18,Sunday,16 July,2:40 pm,West Coast,60,def. by,Richmond,98,Optus Stadium,40501
AFL-M,19,Friday,21 July,7:50 pm,Essendon,49,def. by,Western Bulldogs,90,Marvel Stadium,43634
AFL-M,19,Saturday,22 July,1:45 pm,Richmond,96,def.,Hawthorn,95,Melbourne Cricket Ground,57654
AFL-M,19,Saturday,22 July,2:10 pm,Carlton,140,def.,West Coast,69,Marvel Stadium,34954
AFL-M,19,Saturday,22 July,4:35 pm,Brisbane Lions,64,def.,Geelong,53,The Gabba,32586
AFL-M,19,Saturday,22 July,5:40 pm,Fremantle,76,def. by,Sydney,105,Optus Stadium,42433
AFL-M,19,Saturday,22 July,7:10 pm,Port Adelaide,83,def. by,Collingwood,85,Adelaide Oval,47965
AFL-M,19,Sunday,23 July,1:10 pm,Greater Western Sydney,103,def.,Gold Coast,63,Manuka Oval,10026
AFL-M,19,Sunday,23 July,3:20 pm,Melbourne,97,def.,Adelaide,93,Melbourne Cricket Ground,33122
AFL-M,19,Sunday,23 July,4:40 pm,St Kilda,69,def.,North Melbourne,61,Marvel Stadium,18279
AFL-M,20,Friday,28 July,7:50 pm,Collingwood,76,def. by,Carlton,93,Melbourne Cricket Ground,86785
AFL-M,20,Saturday,29 July,1:45 pm,Geelong,64,def. by,Fremantle,71,GMHBA Stadium,21619
AFL-M,20,Saturday,29 July,1:45 pm,Western Bulldogs,73,def. by,Greater Western Sydney,78,Mars Stadium,9080
AFL-M,20,Saturday,29 July,4:35 pm,Gold Coast,96,def.,Brisbane Lions,55,Heritage Bank Stadium,14097
AFL-M,20,Saturday,29 July,7:25 pm,Essendon,99,def. by,Sydney,101,Marvel Stadium,38329
AFL-M,20,Saturday,29 July,7:10 pm,Adelaide,112,def.,Port Adelaide,65,Adelaide Oval,50023
AFL-M,20,Sunday,30 July,1:10 pm,Hawthorn,93,def. by,St Kilda,122,Marvel Stadium,22769
AFL-M,20,Sunday,30 July,3:20 pm,Richmond,98,def. by,Melbourne,130,Melbourne Cricket Ground,52294
AFL-M,20,Sunday,30 July,4:40 pm,West Coast,72,def.,North Melbourne,67,Optus Stadium,38231
AFL-M,21,Friday,4 August,7:50 pm,Western Bulldogs,126,def.,Richmond,71,Marvel Stadium,39304
AFL-M,21,Saturday,5 August,1:45 pm,Essendon,73,def.,West Coast,72,Marvel Stadium,30742
AFL-M,21,Saturday,5 August,1:40 pm,Adelaide,89,def.,Gold Coast,61,Adelaide Oval,35777
AFL-M,21,Saturday,5 August,4:35 pm,Hawthorn,105,def.,Collingwood,73,Melbourne Cricket Ground,62134
AFL-M,21,Saturday,5 August,7:25 pm,Geelong,97,def.,Port Adelaide,85,GMHBA Stadium,21279
AFL-M,21,Saturday,5 August,7:30 pm,Greater Western Sydney,85,def. by,Sydney,96,Giants Stadium,19332
AFL-M,21,Sunday,6 August,1:10 pm,North Melbourne,71,def. by,Melbourne,103,Blundstone Arena,8034
AFL-M,21,Sunday,6 August,3:20 pm,St Kilda,54,def. by,Carlton,73,Marvel Stadium,42656
AFL-M,21,Sunday,6 August,2:40 pm,Fremantle,74,def. by,Brisbane Lions,77,Optus Stadium,37845
AFL-M,22,Friday,11 August,7:50 pm,Collingwood,109,def.,Geelong,101,Melbourne Cricket Ground,78749
AFL-M,22,Saturday,12 August,1:45 pm,North Melbourne,77,def. by,Essendon,86,Marvel Stadium,37231
AFL-M,22,Saturday,12 August,1:45 pm,Sydney,114,def.,Gold Coast,90,Sydney Cricket Ground,33911
AFL-M,22,Saturday,12 August,4:35 pm,Brisbane Lions,99,def.,Adelaide,93,The Gabba,30107
AFL-M,22,Saturday,12 August,7:30 pm,Carlton,60,def.,Melbourne,56,Melbourne Cricket Ground,68577
AFL-M,22,Saturday,12 August,6:10 pm,West Coast,33,def. by,Fremantle,134,Optus Stadium,51172
AFL-M,22,Sunday,13 August,1:10 pm,Hawthorn,67,def.,Western Bulldogs,64,University of Tasmania Stadium,12480
AFL-M,22,Sunday,13 August,3:20 pm,St Kilda,93,def.,Richmond,57,Marvel Stadium,31119
AFL-M,22,Sunday,13 August,4:10 pm,Port Adelaide,136,def.,Greater Western Sydney,85,Adelaide Oval,32597
AFL-M,23,Friday,18 August,7:50 pm,Collingwood,100,def. by,Brisbane Lions,124,Marvel Stadium,38350
AFL-M,23,Saturday,19 August,1:45 pm,Richmond,101,def.,North Melbourne,72,Melbourne Cricket Ground,59555
AFL-M,23,Saturday,19 August,2:10 pm,Gold Coast,87,def. by,Carlton,91,Heritage Bank Stadium,19253
AFL-M,23,Saturday,19 August,4:35 pm,Greater Western Sydney,162,def.,Essendon,36,Giants Stadium,10281
AFL-M,23,Saturday,19 August,7:25 pm,St Kilda,88,def.,Geelong,55,Marvel Stadium,40103
